Row,Error,Row Data
38,Invalid date format for CREATE DATE at row 38: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
39,Invalid date format for CREATE DATE at row 39: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
40,Invalid date format for CREATE DATE at row 40: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
41,Invalid date format for CREATE DATE at row 41: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
42,Invalid date format for CREATE DATE at row 42: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
43,Invalid date format for CREATE DATE at row 43: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
44,Invalid date format for CREATE DATE at row 44: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
45,Invalid date format for CREATE DATE at row 45: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
46,Invalid date format for CREATE DATE at row 46: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
47,Invalid date format for CREATE DATE at row 47: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
48,Invalid date format for CREATE DATE at row 48: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
49,Invalid date format for CREATE DATE at row 49: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
50,Invalid date format for CREATE DATE at row 50: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
