Row,Error,Row Data
24,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 22:41:57', 'USERNAME': 'fumi123', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 22:42:10', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 25}"
25,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 22:34:55', 'USERNAME': 'dribie88', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 22:35:20', 'PROCESS BY': 'xpukul69', 'AMOUNT': 100}"
26,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 22:29:55', 'USERNAME': 'jennie', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 22:30:35', 'PROCESS BY': 'xpukul69', 'AMOUNT': 50}"
27,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 22:24:44', 'USERNAME': 'semprul', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 22:26:10', 'PROCESS BY': 'xpukul69', 'AMOUNT': 25}"
28,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 22:12:15', 'USERNAME': 'simontok11', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 22:12:29', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 20}"
29,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 22:03:57', 'USERNAME': 'pulih69', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 22:04:59', 'PROCESS BY': 'xpukul69', 'AMOUNT': 24}"
30,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:53:21', 'USERNAME': 'perdian', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:54:46', 'PROCESS BY': 'xpukul69', 'AMOUNT': 24}"
31,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:52:33', 'USERNAME': 'pukki69', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:53:37', 'PROCESS BY': 'xpukul69', 'AMOUNT': 50}"
32,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:49:38', 'USERNAME': 'becakbalap1', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:50:29', 'PROCESS BY': 'xpukul69', 'AMOUNT': 49}"
33,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:45:59', 'USERNAME': 'sahruljezz', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:46:31', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 50}"
34,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:45:40', 'USERNAME': 'dedi321', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:46:24', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 39}"
35,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:43:15', 'USERNAME': 'jaloktulung', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:45:41', 'PROCESS BY': 'xpukul69', 'AMOUNT': 30}"
36,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:38:25', 'USERNAME': 'firlanajp', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:40:30', 'PROCESS BY': 'xpukul69', 'AMOUNT': 25}"
37,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:35:14', 'USERNAME': 'anjelinm', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:35:48', 'PROCESS BY': 'xpukul69', 'AMOUNT': 50}"
38,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:32:37', 'USERNAME': 'kacubung09', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:33:06', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 20}"
39,"Argument 'fmt' has incorrect type (expected str, got list)","{'CREATE DATE': '04-07-2025 21:30:26', 'USERNAME': 'febrian98', 'EVENT': 'Deposit', 'PROCESS DATE': '04-07-2025 21:30:55', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': 20}"
